Observation,Reward
"[2.356942182114582e-09, -1.601565487760404e-08, 0.9999998730415723, 5.656661237074997e-07, -3.8437571706249695e-06, -3.0470022649673466e-05]",-1.6188155472701426e-08
"[4.573215466963053e-08, -4.395806956322074e-08, 0.9999996159683268, 1.0410050997003829e-05, -6.706179524548008e-06, -6.169757893184835e-05]",-6.343297131974793e-08
"[1.1036714293985846e-07, -5.7413532429151384e-08, 0.9999995187737322, 1.5512397184854704e-05, -3.229311087823354e-06, -2.332670269049087e-05]",-1.244074754454103e-07
"[1.7956207540837688e-07, -8.223144948975901e-08, 0.9999995448543201, 1.6606783792444423e-05, -5.956300094545831e-06, 6.25934109471244e-06]",-1.9749569668767573e-07
"[2.375809004670351e-07, -9.310596551121216e-08, 0.9999997548605987, 1.3924518014077967e-05, -2.609883845148755e-06, 5.040150685548497e-05]",-2.5517328441767224e-07
"[3.2832899359787426e-07, -1.1899865618769444e-07, 1.0000001054356535, 2.1779542351401402e-05, -6.214245762355751e-06, 8.413801316543143e-05]",-3.4922859019769567e-07
"[4.667073629453626e-07, -1.3005535597770872e-07, 1.0000003458807516, 3.32108086433972e-05, -2.6536079496034235e-06, 5.770682351966736e-05]",-4.844895852811523e-07
"[5.85429462187068e-07, -1.484611111899981e-07, 1.0000005400337122, 2.8493303818009308e-05, -4.417381250949451e-06, 4.659671055542126e-05]",-6.039605589212003e-07
"[6.585602442315068e-07, -1.779675255878009e-07, 1.0000009437490962, 1.755138769066531e-05, -7.0815394554726685e-06, 9.689169218029351e-05]",-6.821832858155545e-07
"[7.121282341391479e-07, -2.138109633522178e-07, 1.0000014830530635, 1.2856317577833855e-05, -8.602425063460058e-06, 0.00012943295214188892]",-7.43533287693123e-07
"[7.333317242472414e-07, -2.3444847533487817e-07, 1.0000022574639476, 5.088837625942452e-06, -4.953002875838488e-06, 0.0001858586121785364]",-7.698970745328762e-07
"[7.602501651093894e-07, -2.6406868679685234e-07, 1.0000032069663087, 6.460425806915536e-06, -7.1088507508738e-06, 0.00022788056665918945]",-8.048059299579421e-07
"[8.353633110433135e-07, -3.0261292738555326e-07, 1.0000041277285219, 1.802715502414177e-05, -9.250617741288216e-06, 0.00022098293115426187]",-8.884854783608463e-07
"[9.063663176224728e-07, -3.477892184832058e-07, 1.000004871248298, 1.704072157899822e-05, -1.084230986343661e-05, 0.0001784447462809902]",-9.70802370317296e-07
"[9.781669328704023e-07, -4.0546988940944425e-07, 1.0000058074141014, 1.7232147659503104e-05, -1.3843361022297223e-05, 0.00022467979282280736]",-1.058875053903338e-06
"[1.0721511139134624e-06, -4.5752811316781997e-07, 1.000006829509465, 2.2556203450334435e-05, -1.249397370201017e-05, 0.0002453028872681999]",-1.1656929207148783e-06
"[1.1153375345413753e-06, -5.201686000804238e-07, 1.0000079498413164, 1.0364740950699092e-05, -1.5033716859024928e-05, 0.0002688796442854776]",-1.2306718443461934e-06
"[1.1654194954988768e-06, -5.989223020969835e-07, 1.0000091220110225, 1.2019670629800329e-05, -1.890088848397431e-05, 0.00028132072949810753]",-1.3103093239529386e-06
"[1.248603826192391e-06, -6.685546209146007e-07, 1.0000101164394306, 1.9964239366443415e-05, -1.6711756516228134e-05, 0.00023866281794898705]",-1.4163251024847876e-06
"[1.3274291446810749e-06, -7.236928793671973e-07, 1.0000111922277923, 1.8918076437284146e-05, -1.3233182028623174e-05, 0.00025818920680513885]",-1.5118860796354713e-06
"[1.4472086167751565e-06, -7.791406384635015e-07, 1.0000122080304346, 2.8747073302579597e-05, -1.3307462183113011e-05, 0.00024379263415527213]",-1.6436158051605535e-06
"[1.5375269841316323e-06, -8.489139816458951e-07, 1.0000130370545663, 2.1676408165554206e-05, -1.674560236377444e-05, 0.00019896579162398406]",-1.7563155112811593e-06
"[1.67723124637987e-06, -9.16673051278079e-07, 1.0000136629178247, 3.352902293957708e-05, -1.6262176711724163e-05, 0.0001502071819747925]",-1.9113853972374164e-06
"[1.83801746212689e-06, -9.74159755908041e-07, 1.000014160174053, 3.858869177928479e-05, -1.3796809111190894e-05, 0.00011934149479337459]",-2.080215234324128e-06
"[2.0290009351938254e-06, -1.027218211103056e-06, 1.0000146618862755, 4.583603353606452e-05, -1.2734029246803573e-05, 0.00012041093339115038]",-2.2742080046115353e-06
"[2.180601924304273e-06, -1.0812425293875073e-06, 1.0000154168759776, 3.63842373865074e-05, -1.296583638826832e-05, 0.0001811975284769527]",-2.433949498168726e-06
"[2.3151395233231117e-06, -1.1216017467415494e-06, 1.0000160994917422, 3.22890237645213e-05, -9.686212164970109e-06, 0.00016382778351172687]",-2.572520454874258e-06
"[2.4711808890945037e-06, -1.1546139080928718e-06, 1.000016785470034, 3.744992778513406e-05, -7.922918724317405e-06, 0.00016463478999092826]",-2.7276121907975475e-06
"[2.6160568790753857e-06, -1.1718514221311621e-06, 1.0000172848209647, 3.477023759541168e-05, -4.137003369189648e-06, 0.00011984422341429943]",-2.8665291469141693e-06
"[2.779125551753296e-06, -1.1941284125354744e-06, 1.0000176784998267, 3.913648144269843e-05, -5.346477697034929e-06, 9.448292687932745e-05]",-3.0248109855051363e-06
"[2.9567224969163303e-06, -1.2092109817811612e-06, 1.0000180742765061, 4.262326683912823e-05, -3.6198166189648345e-06, 9.498640307676744e-05]",-3.1944325195926895e-06
"[3.157247287148822e-06, -1.2345726714018876e-06, 1.000018590201673, 4.8125949655798e-05, -6.0868055089743e-06, 0.00012382204002179365]",-3.3900413143767127e-06
